iter	RMSE
0	4.000127091
1	3.944847519
2	3.899576914
3	3.854040614
4	3.804247333
5	3.753530234
6	3.697203327
7	3.652130963
8	3.613609036
9	3.575420755
10	3.530025206
11	3.493436622
12	3.445153646
13	3.402913873
14	3.361295991
15	3.321842871
16	3.286870665
17	3.248770493
18	3.209730051
19	3.169613023
20	3.129886214
21	3.091465383
22	3.054382434
23	3.014021259
24	2.973620479
25	2.943950085
26	2.913806684
27	2.886113241
28	2.861684362
29	2.834819369
30	2.8083334
31	2.783521858
32	2.752020503
33	2.718073817
34	2.688115612
35	2.659195069
36	2.630309663
37	2.604778112
38	2.581219134
39	2.556639626
40	2.528300782
41	2.499588059
42	2.472142672
43	2.449045958
44	2.422074617
45	2.395092429
46	2.367843567
47	2.342776325
48	2.317728261
49	2.289933849
50	2.265002037
51	2.244121872
52	2.222551883
53	2.206150252
54	2.183930019
55	2.167739276
56	2.14901911
57	2.127003151
58	2.10230557
59	2.083905813
60	2.065706273
61	2.045614736
62	2.029387852
63	2.00589603
64	1.983924927
65	1.966517552
66	1.954062233
67	1.931877738
68	1.910780758
69	1.889383857
70	1.87192208
71	1.851063824
72	1.833894714
73	1.81461017
74	1.791752485
75	1.773837573
76	1.761761915
77	1.738795596
78	1.72283294
79	1.703095302
80	1.688776111
81	1.675879867
882	1.96199866483	1.643791963
84	1.628304326
85	1.611072528
86	1.593451425
87	1.576802131
88	1.559669547
89	1.547083541
90	1.532058226
91	1.515588339
92	1.497114364
93	1.482908152
94	1.470904156
95	1.45726796	96	1.441536001
97	1.431051798	1.738159891
99	1.726223277
100	1.714447533
101	1.706120067
102	1.69265954
103	1.677687653
104	1.667839741
105	1.654157781
106	1.643426534
107	1.632713675
108	1.621236842
109	1.606151898
110	1.59424465
111	1.582461167
112	1.572729902
113	1.560345017
114	1.549550749
115	1.536609022
116	1.524919097
117	1.513818261
118	1.505987374
119	1.496221655
120	1.486659212
121	1.475307816
122	1.466410374
123	1.455131951
124	1.443263362
125	1.434599911
126	1.424663708
127	1.415738165
128	1.405332875
129	1.396986977
130	1.388705196
131	1.378058381
132	1.368879993
133	1.361241231
134	1.353319527
135	1.342020463
136	1.332220351
137	1.322373977
138	1.312775478
139	1.301990381
140	1.293589141
141	1.282762426
142	1.273932591
143	1.264574108
144	1.255372036
145	1.247026349
146	1.238380761
147	1.23173181
148	1.224746641
149	1.215686213
150	1.209248421
151	1.201013964
152	1.19381646
153	1.187780251
154	1.180903756
155	1.173566028
156	1.16712204
157	1.159653096
158	1.150333557
159	1.142590347
160	1.133990855
161	1.127245531
162	1.120594401
163	1.114214736
164	1.107424153
165	1.102144518
166	1.096923664
167	1.09114676
168	1.082714189
169	1.074725876
170	1.068306177
171	1.060885766
172	1.054041494
173	1.046546029
174	1.039562476
175	1.032299462
176	1.02593177
177	1.020915093
178	1.015246229
179	1.008589118
180	1.001797841
181	0.9971948842
182	0.9909983724
183	0.9854978803
184	0.9782630278
185	0.9739676601
186	0.9686474218
187	0.9624352638
188	0.9575141148
189	0.9508423465
190	0.9456929238
1	0.9646924863
192	0.960077817
193	0.9561658408
194	0.9496634349
195	0.9449265002
196	0.9397340395
197	0.9345697401
198	0.9285632372
199	0.9234132092
200	0.918454578
201	0.9128161342
202	0.9064547477
203	0.9001774775
204	0.8946156219
205	0.8895650271
206	0.8842119674
207	0.879928716
208	0.8758388439
209	0.871547409
210	0.8677229553
211	0.8618652097
212	0.8571181533
213	0.8526605856
214	0.8473514432
215	0.8432398028
216	0.8385787855
217	0.8341845262
218	0.8300770891
219	0.8248874563
220	0.8221493084
221	0.8173647402
222	0.8122664782
223	0.8075703003
224	0.8030530326
225	0.7980108425
226	0.7933401402
227	0.7890313912
228	0.7846312559
229	0.7807174991
230	0.7772933721
231	0.7741084374
232	0.7695370448
233	0.7658712291
234	0.7612643326
235	0.7570006626
236	0.7534365498
237	0.7494969243
238	0.7465471244
239	0.7426033652
240	0.739632662
241	0.7366927403
242	0.732661109
243	0.7301364881
244	0.7258696046
245	0.7225209479
246	0.718927138
247	0.7156925999
248	0.7117086752
249	0.7082555327
250	0.7061166242
251	0.7028308855
252	0.6996917482
253	0.6966619532
254	0.6936531971
255	0.6910965831
256	0.688546847
257	0.685488147
258	0.6828750429
259	0.6807287465
260	0.6784015204
261	0.6752349392
262	0.6724051915
263	0.6693338839
264	0.6669379456
265	0.663463305
266	0.6606960651
267	0.6581320871
268	0.6549935764
269	0.6516636757
270	0.6491518835
271	0.6464695943
272	0.6436315514
273	0.6415974852
274	0.6385640345
275	0.6366241301
276	0.6341343259
277	0.6313450708
278	0.62906946
279	0.6267407544
280	0.624020493
281	0.6212064734
282	0.6190736185
283	0.6167773844
284	0.6144140017
285	0.6119794998
286	0.609270955
287	0.6066674584
288	0.6039323366
289	0.6018847748
290	0.5991626379
291	0.5964525516
292	0.5943322616
293	0.5916710777
294	0.5892210087
295	0.5866348338
296	0.5847109073
297	0.5822111182
298	0.5800146528
299	0.5779341243
300	0.5758753907
301	0.5733454715
302	0.5711511546
303	0.5689865812
304	0.5672200821
305	0.5653325239
306	0.5633837469
307	0.561821273
308	0.5600010234
309	0.5584041509
310	0.5563350106
311	0.5543090581
312	0.5528558775
313	0.5509291702
314	0.5486935387
315	0.5466783955
316	0.545372079
317	0.5434792364
318	0.5417731883
319	0.5403451121
320	0.53881116
321	0.5373745038
322	0.5354383634
323	0.5339125993
324	0.5323153694
325	0.5305863603
326	0.5289869945
327	0.5276583781
328	0.5260370862
329	0.5243439809
330	0.5225342945
331	0.5212174371
332	0.5196998923
333	0.5183466766
334	0.5167041337
335	0.5147617972
336	0.5132944604
337	0.5120430286
338	0.5104262491
339	0.5089113992
340	0.5074987887
341	0.5061398546
342	0.5047856117
343	0.5032310039
344	0.5020884214
345	0.500392709
346	0.4991622402
347	0.4979890313
348	0.496766325
349	0.4957346046
350	0.4945450968
351	0.4933269409
352	0.4918781818
353	0.4906265185
354	0.4892939618
355	0.4876441796
356	0.4865040271
357	0.4853393089
358	0.4842575485
359	0.4829529469
360	0.4814398468
361	0.4800265444
362	0.4785764599
363	0.4773247507
364	0.4760274263
365	0.4746960108
366	0.4735186031
367	0.4721272828
368	0.4709489127
369	0.4696061064
370	0.468561505
371	0.4673658931
372	0.4660913891
373	0.464850468
374	0.4637381278
375	0.462767142
376	0.4612900168
377	0.4601324122
378	0.4590580051
379	0.4580223714
380	0.45700838
