,0,1,2,3,4,5,6,7,8,9,10,11
1627,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,19.48389245519886
90,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,14.251293105763876
832,1.0,1.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,15.911015527066958
189,1.0,1.0,0.0,0.0,2.0,1.0,5.0,2.0,0.0,0.0,0.0,10.972442969016576
228,1.0,0.0,1.0,1.0,2.0,5.0,3.0,3.0,0.0,0.0,1.0,6.634191954895195
21,0.0,0.0,0.0,1.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,17.903300597253494
95,1.0,1.0,1.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,1.0,10.531616207709554
847,1.0,0.0,0.0,1.0,5.0,1.0,5.0,5.0,0.0,1.0,0.0,21.806088683752197
1507,0.0,0.0,0.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,4.704821641278228
1602,0.0,0.0,0.0,1.0,4.0,1.0,2.0,3.0,1.0,0.0,1.0,9.561553254749825
1515,1.0,1.0,1.0,1.0,2.0,1.0,3.0,5.0,1.0,1.0,0.0,19.45507020024884
207,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.7022593109026145
697,1.0,1.0,0.0,1.0,0.0,5.0,5.0,5.0,0.0,1.0,1.0,7.355313699766725
543,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,-4.489864893499173
1367,1.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,13.405901214385684
1172,0.0,0.0,1.0,0.0,2.0,4.0,4.0,4.0,1.0,0.0,1.0,21.546163920555657
1464,1.0,0.0,1.0,1.0,2.0,5.0,3.0,3.0,1.0,0.0,0.0,16.691496855655288
613,0.0,0.0,0.0,1.0,5.0,4.0,1.0,1.0,0.0,1.0,0.0,20.836407327605382
356,0.0,0.0,1.0,1.0,4.0,0.0,5.0,5.0,0.0,0.0,1.0,12.916896274443168
546,0.0,0.0,0.0,0.0,3.0,4.0,0.0,4.0,0.0,1.0,1.0,9.131885750263365
103,1.0,1.0,1.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,17.12511418430467
288,1.0,1.0,0.0,1.0,3.0,0.0,4.0,4.0,0.0,0.0,1.0,8.957290710263013
532,0.0,0.0,0.0,1.0,2.0,4.0,3.0,3.0,0.0,1.0,0.0,7.841851426767246
1169,0.0,1.0,1.0,0.0,2.0,3.0,3.0,3.0,1.0,0.0,0.0,4.936309050562333
251,0.0,0.0,0.0,1.0,3.0,0.0,5.0,4.0,0.0,0.0,1.0,-0.5204309549961463
1673,0.0,0.0,0.0,1.0,5.0,1.0,3.0,5.0,1.0,0.0,1.0,5.532147312379747
681,1.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,14.632801456625328
991,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,-3.2523319551755048
1474,0.0,1.0,0.0,1.0,2.0,5.0,2.0,3.0,1.0,0.0,1.0,1.0662185902419985
1529,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,0.1396584347246472
1589,1.0,1.0,1.0,1.0,3.0,4.0,5.0,5.0,1.0,1.0,0.0,10.713242869253143
1220,1.0,0.0,1.0,0.0,3.0,2.0,4.0,4.0,1.0,0.0,0.0,2.6368329315299226
293,1.0,1.0,0.0,1.0,3.0,5.0,4.0,0.0,0.0,0.0,0.0,8.15272376428489
1731,1.0,1.0,0.0,1.0,5.0,3.0,2.0,4.0,1.0,1.0,1.0,3.170851042849124
200,0.0,1.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,-3.978886070801997
1366,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-4.288250775709335
1420,1.0,1.0,1.0,1.0,1.0,3.0,5.0,5.0,1.0,0.0,0.0,-4.825820685319203
1244,0.0,0.0,1.0,0.0,4.0,3.0,4.0,4.0,1.0,1.0,1.0,21.432183403579742
1260,1.0,1.0,1.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,-1.696414647929926
535,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,5.5627478488959365
360,1.0,1.0,1.0,1.0,4.0,4.0,3.0,5.0,0.0,0.0,1.0,-2.0405034392528028
185,1.0,1.0,0.0,0.0,2.0,2.0,3.0,4.0,0.0,0.0,1.0,-0.0236288957758867
1523,1.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,1.0,1.0,1.0,20.339906254896636
1741,1.0,1.0,0.0,1.0,5.0,5.0,3.0,4.0,1.0,1.0,1.0,2.480591826353055
1136,1.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,-2.556676125404353
146,0.0,1.0,0.0,1.0,1.0,3.0,2.0,2.0,0.0,0.0,1.0,12.988411639061152
1214,0.0,0.0,1.0,0.0,3.0,4.0,3.0,2.0,1.0,0.0,0.0,5.305985816556319
1205,0.0,0.0,1.0,0.0,3.0,4.0,2.0,0.0,1.0,1.0,0.0,9.497941636317393
718,1.0,1.0,0.0,1.0,1.0,5.0,5.0,5.0,0.0,1.0,0.0,15.93980446808181
1252,1.0,1.0,1.0,0.0,4.0,5.0,1.0,3.0,1.0,0.0,1.0,10.754842589513617
1374,1.0,1.0,0.0,1.0,0.0,2.0,5.0,4.0,1.0,0.0,1.0,-0.8160382470405265
837,1.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2280421046451933
939,1.0,0.0,0.0,0.0,5.0,3.0,1.0,1.0,1.0,0.0,1.0,-2.167027107041939
732,1.0,0.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,1.0,1.0,15.28152040666678
1716,1.0,1.0,0.0,1.0,5.0,0.0,5.0,2.0,1.0,0.0,1.0,13.435806360408844
1030,0.0,1.0,0.0,0.0,4.0,1.0,3.0,4.0,1.0,1.0,0.0,17.299800418015398
680,1.0,1.0,0.0,1.0,0.0,4.0,3.0,5.0,0.0,1.0,0.0,21.26937691523148
560,0.0,0.0,0.0,0.0,3.0,5.0,3.0,1.0,0.0,1.0,1.0,2.8030744439101563
92,1.0,1.0,1.0,1.0,0.0,4.0,3.0,3.0,0.0,0.0,1.0,11.739313683397636
831,1.0,1.0,0.0,1.0,4.0,4.0,2.0,2.0,0.0,1.0,0.0,3.335261312446054
521,0.0,0.0,0.0,0.0,2.0,1.0,5.0,5.0,0.0,1.0,1.0,17.708644031447463
232,1.0,1.0,1.0,0.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,4.039842349056814
465,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,1.0,1.0,15.36865877209879
655,0.0,1.0,0.0,1.0,4.0,5.0,3.0,3.0,0.0,1.0,1.0,11.445072604529056
1041,1.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,17.678735814856406
300,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,15.947686358176298
1600,1.0,0.0,0.0,1.0,4.0,0.0,5.0,1.0,1.0,0.0,0.0,19.173647908534008
1117,1.0,1.0,1.0,0.0,0.0,5.0,1.0,3.0,1.0,1.0,1.0,14.285177469111236
1259,0.0,0.0,1.0,0.0,4.0,2.0,4.0,0.0,1.0,1.0,1.0,-2.4423557582942843
519,0.0,0.0,1.0,0.0,2.0,3.0,5.0,5.0,0.0,1.0,0.0,10.179496778436397
906,1.0,1.0,0.0,0.0,4.0,2.0,5.0,1.0,1.0,0.0,0.0,4.187245870104444
132,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,-2.220560391343739
454,0.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,0.0,0.0,1.0,4.178039687571177
1307,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,-4.980687927843638
1645,0.0,0.0,1.0,1.0,4.0,3.0,0.0,3.0,1.0,1.0,1.0,5.935245827014802
429,1.0,1.0,1.0,0.0,5.0,5.0,3.0,1.0,0.0,0.0,1.0,-2.6303845928020952
1046,1.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,1.0,1.0,1.0,-1.8555150659742043
1580,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,10.302498159422646
1597,1.0,1.0,0.0,1.0,4.0,1.0,3.0,3.0,1.0,0.0,1.0,6.708533511382214
1264,0.0,0.0,1.0,0.0,4.0,3.0,5.0,5.0,1.0,1.0,1.0,14.57189119445196
1552,0.0,0.0,0.0,1.0,3.0,4.0,5.0,4.0,1.0,0.0,0.0,4.987600379242659
556,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,9.148527051295488
1708,0.0,0.0,1.0,1.0,5.0,0.0,3.0,3.0,1.0,1.0,0.0,15.579834360467178
809,1.0,1.0,1.0,0.0,4.0,3.0,5.0,5.0,0.0,1.0,0.0,18.619974408405607
744,1.0,1.0,0.0,1.0,1.0,4.0,3.0,3.0,0.0,1.0,1.0,0.347192858917734
120,0.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,4.60867679868343
1153,0.0,0.0,1.0,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0,-1.3061962571577368
493,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.8878578859922373
1005,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,1.0,1.0,1.0,0.517972425754941
874,1.0,0.0,0.0,0.0,4.0,2.0,3.0,3.0,1.0,0.0,0.0,20.4105119306246
1031,0.0,1.0,0.0,0.0,0.0,3.0,1.0,5.0,1.0,1.0,0.0,5.859431509297805
925,1.0,1.0,0.0,0.0,1.0,5.0,4.0,2.0,1.0,0.0,0.0,-4.189666755720901
1013,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,1.0,1.0,1.0,20.056085857549373
1512,0.0,0.0,0.0,1.0,2.0,3.0,5.0,1.0,1.0,1.0,1.0,19.68205447047397
830,1.0,1.0,0.0,1.0,4.0,2.0,3.0,3.0,0.0,1.0,1.0,-2.7108320700813584
1631,1.0,0.0,1.0,1.0,4.0,3.0,5.0,2.0,1.0,0.0,1.0,-2.6093531191268955
307,1.0,0.0,1.0,1.0,3.0,4.0,3.0,1.0,0.0,0.0,0.0,5.377361732743031
1744,1.0,1.0,0.0,1.0,5.0,2.0,4.0,4.0,1.0,1.0,0.0,18.840431778167744
545,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,10.741882410481212
1691,1.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,5.300926450126212
508,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,0.0,1.0,1.0,9.379089682531392
180,1.0,1.0,0.0,0.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,13.440201010459695
1639,0.0,0.0,1.0,1.0,4.0,5.0,4.0,4.0,1.0,1.0,1.0,-1.846154308158754
315,0.0,0.0,0.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0,1.0,-3.5913808231205437
800,1.0,1.0,1.0,0.0,3.0,4.0,4.0,1.0,0.0,1.0,1.0,3.4064629058992963
1392,0.0,0.0,1.0,1.0,1.0,5.0,5.0,4.0,1.0,0.0,0.0,20.25260266938281
1176,0.0,1.0,1.0,0.0,2.0,5.0,2.0,2.0,1.0,0.0,1.0,4.359118544304224
473,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,16.46635996839094
576,0.0,0.0,1.0,0.0,4.0,2.0,1.0,0.0,0.0,1.0,1.0,-1.562527453074365
421,1.0,1.0,0.0,1.0,5.0,4.0,1.0,1.0,0.0,0.0,1.0,15.661669995768644
119,0.0,0.0,0.0,1.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,17.85711756328414
354,1.0,1.0,0.0,0.0,4.0,0.0,1.0,4.0,0.0,0.0,1.0,16.63545756192233
1068,1.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,1.0,1.0,2.9857356366622883
81,1.0,1.0,0.0,0.0,0.0,3.0,1.0,5.0,0.0,0.0,1.0,3.595265665382435
574,0.0,0.0,0.0,0.0,4.0,5.0,5.0,5.0,0.0,1.0,1.0,16.709157021788457
825,1.0,1.0,1.0,1.0,4.0,0.0,2.0,5.0,0.0,1.0,1.0,0.2707996122594984
1630,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,0.0,1.0,2.5323114320692364
1201,0.0,1.0,1.0,0.0,2.0,5.0,5.0,1.0,1.0,1.0,0.0,-3.5253787923902937
1460,1.0,0.0,0.0,1.0,2.0,3.0,5.0,5.0,1.0,0.0,0.0,2.0015051948937383
1189,1.0,1.0,1.0,0.0,2.0,5.0,1.0,4.0,1.0,1.0,1.0,2.6820070737084505
1326,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,15.87393269271903
806,1.0,0.0,1.0,0.0,4.0,3.0,5.0,5.0,0.0,1.0,0.0,1.1583400262424002
402,1.0,0.0,0.0,1.0,5.0,0.0,3.0,1.0,0.0,0.0,1.0,17.111151804309767
476,0.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0,1.0,18.257404991378152
1527,0.0,1.0,1.0,1.0,2.0,4.0,5.0,5.0,1.0,1.0,0.0,0.4307120851644797
634,0.0,1.0,0.0,0.0,0.0,5.0,5.0,2.0,0.0,1.0,0.0,11.255875822335142
1489,0.0,1.0,0.0,1.0,2.0,5.0,1.0,5.0,1.0,0.0,0.0,17.11738456760651
287,1.0,1.0,0.0,1.0,3.0,2.0,2.0,2.0,0.0,0.0,1.0,1.37765780207258
282,0.0,0.0,1.0,0.0,3.0,4.0,4.0,4.0,0.0,0.0,1.0,2.5196518062469178
148,0.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,19.82643629918084
1208,0.0,0.0,1.0,0.0,3.0,4.0,4.0,4.0,1.0,1.0,0.0,10.088253995871543
652,0.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,1.0,1.0,7.228193542344176
645,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,20.159817097912143
1058,1.0,1.0,0.0,0.0,1.0,2.0,5.0,3.0,1.0,1.0,0.0,15.062287342702051
1660,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,0.0,5.70874644583461
1525,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,-1.1403279153556989
913,1.0,1.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,0.7797247194849541
1029,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,5.181427037306992
214,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.828510244562116
1338,0.0,0.0,1.0,1.0,0.0,5.0,4.0,4.0,1.0,1.0,1.0,1.4886937026532765
133,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,4.1492635237395135
164,0.0,0.0,1.0,0.0,1.0,0.0,5.0,2.0,0.0,0.0,1.0,2.233698158552186
1621,1.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,0.0,1.0,0.7109207929813186
1036,0.0,1.0,0.0,0.0,1.0,4.0,5.0,1.0,1.0,1.0,0.0,10.638300139594088
848,1.0,1.0,1.0,1.0,5.0,1.0,2.0,2.0,0.0,1.0,0.0,-1.2111401235933572
889,0.0,0.0,0.0,0.0,5.0,1.0,2.0,2.0,1.0,0.0,0.0,18.695891120065586
3,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,11.093272821025051
1311,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,1.0,0.7716099521660293
99,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,14.935733210417151
1334,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,5.461129200358991
380,1.0,1.0,1.0,0.0,4.0,2.0,1.0,2.0,0.0,0.0,0.0,1.4491211805907138
1142,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-4.642053305758483
242,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,-2.8280152727057275
1433,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,-2.6793662917969963
1619,1.0,1.0,1.0,1.0,4.0,4.0,4.0,0.0,1.0,0.0,0.0,0.6371002699791948
957,0.0,0.0,0.0,0.0,2.0,1.0,5.0,5.0,1.0,0.0,1.0,-2.1263079334426784
339,1.0,0.0,0.0,0.0,4.0,3.0,3.0,3.0,0.0,0.0,1.0,18.35321369828631
1028,0.0,1.0,0.0,0.0,0.0,3.0,4.0,5.0,1.0,1.0,1.0,13.293294000892809
1088,1.0,1.0,0.0,0.0,5.0,1.0,5.0,5.0,1.0,1.0,0.0,2.3433015837491435
301,1.0,0.0,1.0,1.0,3.0,1.0,5.0,1.0,0.0,0.0,0.0,2.4852467410132046
1504,1.0,0.0,0.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,0.0,15.39439206058132
571,0.0,0.0,1.0,0.0,4.0,5.0,3.0,3.0,0.0,1.0,1.0,6.256489144500744
731,1.0,1.0,0.0,0.0,1.0,0.0,5.0,5.0,0.0,1.0,1.0,11.466262324687987
604,0.0,0.0,1.0,1.0,5.0,4.0,1.0,5.0,0.0,1.0,1.0,21.919417622911823
1126,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,21.00975727622474
1365,1.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,15.558784257183824
691,1.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,1.0,0.0,2.1535015421821058
340,1.0,1.0,0.0,1.0,4.0,4.0,3.0,1.0,0.0,0.0,0.0,-4.7709355660514685
1113,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,17.703217513404475
663,0.0,1.0,0.0,1.0,5.0,2.0,4.0,4.0,0.0,1.0,1.0,11.715399629616575
205,1.0,0.0,0.0,1.0,2.0,4.0,5.0,0.0,0.0,0.0,1.0,12.776086531703086
1733,1.0,1.0,1.0,1.0,5.0,2.0,0.0,1.0,1.0,1.0,0.0,9.3243459739979
1213,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,12.414681664398724
1395,0.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,1.0,0.0,0.0,20.150074844591167
208,0.0,1.0,0.0,1.0,2.0,1.0,4.0,4.0,0.0,0.0,1.0,14.060083938955206
867,1.0,1.0,0.0,1.0,5.0,3.0,2.0,2.0,0.0,1.0,1.0,12.533485922694393
1376,1.0,1.0,0.0,1.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,3.986580366173399
765,1.0,1.0,1.0,1.0,2.0,0.0,4.0,4.0,0.0,1.0,1.0,-2.4616106802609807
742,1.0,1.0,0.0,1.0,1.0,1.0,5.0,5.0,0.0,1.0,1.0,16.56870144320575
392,1.0,1.0,1.0,1.0,4.0,5.0,1.0,4.0,0.0,0.0,1.0,3.8159999972674576
420,0.0,1.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0,14.067605343441585
1044,1.0,0.0,0.0,0.0,2.0,4.0,2.0,5.0,1.0,1.0,1.0,-0.057151839921862
1467,0.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,-4.298085797751148
1506,1.0,0.0,0.0,1.0,2.0,4.0,0.0,3.0,1.0,1.0,1.0,8.754765221675234
387,0.0,0.0,1.0,1.0,4.0,2.0,3.0,3.0,0.0,0.0,1.0,4.673452894324857
792,1.0,1.0,1.0,1.0,3.0,5.0,2.0,2.0,0.0,1.0,1.0,12.34363232478891
717,1.0,0.0,1.0,1.0,1.0,4.0,2.0,5.0,0.0,1.0,0.0,21.72823271281913
